,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
178,GOANNA 1H,24:00:00,18.4,17.27,4.17,125,80,,2021-04-07
179,GREAT WHITE 1H,24:00:00,56.66,70.0,26.67,125,90,,2021-04-07
180,GREAT WHITE 2H,24:00:00,69.62,56.0,20.0,125,90,,2021-04-07
181,JAVELINA 1H,24:00:00,20.0,16.0,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-07
182,MANTA 1H,24:00:00,35.56,31.37,10.46,200,80,,2021-04-07
183,REEF 3H,24:00:00,35.4,65.11,35.0,200,70,6.5spm,2021-04-07
184,RIDGEBACK 1H,24:00:00,16.7,12.0,3.33,120,80,7.1spm,2021-04-07
185,SEA WASP 2H,24:00:00,12.12,27.56,3.33,140,80,,2021-04-07
186,STINGRAY 2H,24:00:00,18.39,17.0,10.0,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-07
191,Summary,,447.92,628.02,207.12,,,,2021-04-07
187,THORNY DEVIL 1H,24:00:00,34.91,102.22,18.33,180,100,,2021-04-07
188,THORNY DEVIL 2H,24:00:00,28.33,86.09,8.33,180,100,,2021-04-07
189,THORNY DEVIL 3H,24:00:00,20.06,32.11,5.0,150,80,,2021-04-07
190,WOMBAT 2H,24:00:00,25.05,34.0,20.0,140,80,,2021-04-07
192,CROC 1H,24:00:00,11.67,5.65,6.25,280,80,"12on/12off, 6.5spm",2021-04-06
193,GALAH 3H,24:00:00,34.27,52.5,23.33,150,80,,2021-04-06
194,GOANNA 1H,24:00:00,17.56,10.93,2.92,150,80,,2021-04-06
195,GREAT WHITE 1H,24:00:00,52.1,72.73,31.5,125,90,,2021-04-06
196,GREAT WHITE 2H,24:00:00,48.33,64.45,25.0,125,90,,2021-04-06
197,JAVELINA 1H,24:00:00,18.77,15.69,7.08,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-06
198,MANTA 1H,24:00:00,34.18,38.71,17.44,200,80,,2021-04-06
199,REEF 3H,24:00:00,33.8,28.03,2.51,200,70,6.5spm,2021-04-06
200,RIDGEBACK 1H,24:00:00,16.73,12.21,2.5,120,80,7.1spm,2021-04-06
201,SEA WASP 2H,24:00:00,5.01,19.27,0.01,120,80,,2021-04-06
202,STINGRAY 2H,24:00:00,25.92,12.75,1.26,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-06
207,Summary,,427.16,603.32,176.48,,,,2021-04-06
203,THORNY DEVIL 1H,24:00:00,44.88,102.19,21.25,180,100,,2021-04-06
204,THORNY DEVIL 2H,24:00:00,32.08,89.44,8.76,160,100,,2021-04-06
205,THORNY DEVIL 3H,24:00:00,18.88,36.97,4.59,150,80,,2021-04-06
206,WOMBAT 2H,24:00:00,32.98,41.8,22.09,140,80,,2021-04-06
208,CROC 1H,24:00:00,0.01,6.34,4.58,280,80,"12on/12off, 6.5spm",2021-04-05
209,GALAH 3H,24:00:00,33.63,50.2,0.01,285,-,,2021-04-05
210,GOANNA 1H,24:00:00,12.95,7.71,3.33,-,15,,2021-04-05
211,GREAT WHITE 1H,24:00:00,57.5,74.5,52.5,-,-,,2021-04-05
212,GREAT WHITE 2H,24:00:00,37.5,23.15,0.01,-,-,,2021-04-05
213,JAVELINA 1H,24:00:00,22.93,15.63,7.92,-,-,,2021-04-05
214,MANTA 1H,24:00:00,24.4,28.77,13.95,-,-,,2021-04-05
215,REEF 3H,24:00:00,22.45,29.59,4.16,37,37,,2021-04-05
216,RIDGEBACK 1H,24:00:00,15.45,12.25,3.75,-,-,,2021-04-05
217,SEA WASP 2H,24:00:00,73.51,33.37,0.01,-,-,,2021-04-05
218,STINGRAY 2H,24:00:00,15.46,16.21,10.0,1872,1872,,2021-04-05
223,Summary,,411.49,566.63,0.01,,,,2021-04-05
219,THORNY DEVIL 1H,24:00:00,36.91,102.84,19.17,-,-,,2021-04-05
220,THORNY DEVIL 2H,24:00:00,30.0,93.12,12.5,-,-,,2021-04-05
221,THORNY DEVIL 3H,24:00:00,13.84,31.09,0.01,-,-,,2021-04-05
222,WOMBAT 2H,24:00:00,14.96,41.86,19.17,61,3,,2021-04-05
224,CROC 1H,24:00:00,10.2,17.56,8.34,200,80,"12on/12off, 6.5spm",2021-04-04
225,GALAH 3H,24:00:00,40.17,51.33,14.16,150,80,,2021-04-04
226,GOANNA 1H,24:00:00,15.07,5.62,2.09,125,80,,2021-04-04
227,GREAT WHITE 1H,24:00:00,43.33,57.88,23.33,125,90,,2021-04-04
228,GREAT WHITE 2H,24:00:00,51.2,37.09,20.0,125,90,,2021-04-04
229,JAVELINA 1H,24:00:00,19.17,15.56,8.33,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-04
230,MANTA 1H,24:00:00,41.84,44.7,22.32,200,80,In hand,2021-04-04
231,REEF 3H,24:00:00,27.46,52.54,25.0,200,70,6.5spm,2021-04-04
232,RIDGEBACK 1H,24:00:00,15.46,11.98,4.17,120,80,7.1spm,2021-04-04
233,SEA WASP 2H,24:00:00,11.7,45.56,5.0,120,80,,2021-04-04
234,STINGRAY 2H,24:00:00,24.66,13.27,2.08,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-04
239,Summary,,425.4,632.93,198.57,,,,2021-04-04
235,THORNY DEVIL 1H,24:00:00,47.37,107.79,20.0,180,100,,2021-04-04
236,THORNY DEVIL 2H,24:00:00,30.0,95.3,15.83,180,100,,2021-04-04
237,THORNY DEVIL 3H,24:00:00,12.12,33.1,9.17,150,80,,2021-04-04
238,WOMBAT 2H,24:00:00,35.65,43.65,18.75,140,80,,2021-04-04
240,CROC 1H,24:00:00,21.62,11.53,10.0,200,80,"12on/12off, 6.5spm",2021-04-03
241,GALAH 3H,24:00:00,37.58,54.15,15.84,150,80,,2021-04-03
242,GOANNA 1H,24:00:00,17.41,11.36,4.16,120,15,,2021-04-03
243,GREAT WHITE 1H,24:00:00,57.5,69.51,18.33,125,90,,2021-04-03
244,GREAT WHITE 2H,24:00:00,43.13,42.49,20.0,125,90,,2021-04-03
245,JAVELINA 1H,24:00:00,20.05,15.28,5.84,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-03
246,MANTA 1H,8:00,0.01,14.39,8.37,200,80,"DOA- Low Load Limit, Put in workorder for tech to look at, Put in Hand",2021-04-03
247,REEF 3H,24:00:00,33.69,31.37,6.67,200,70,6.5spm,2021-04-03
248,RIDGEBACK 1H,24:00:00,15.87,12.07,4.58,120,80,7.1spm,2021-04-03
249,SEA WASP 2H,24:00:00,20.48,71.27,11.67,150,80,,2021-04-03
250,STINGRAY 2H,24:00:00,15.46,16.27,10.42,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-03
255,Summary,,417.48,635.95,175.46,,,,2021-04-03
251,THORNY DEVIL 1H,24:00:00,42.37,102.31,19.17,180,100,,2021-04-03
252,THORNY DEVIL 2H,24:00:00,31.15,97.51,13.33,160,100,,2021-04-03
253,THORNY DEVIL 3H,24:00:00,22.56,38.81,9.58,150,80,,2021-04-03
254,WOMBAT 2H,24:00:00,38.0,47.63,17.5,140,80,,2021-04-03
256,CROC 1H,24:00:00,9.98,5.71,1.66,200,80,"12on/12off, 6.5spm",2021-04-02
257,GALAH 3H,24:00:00,35.49,52.49,17.91,150,80,,2021-04-02
258,GOANNA 1H,24:00:00,20.1,9.05,1.67,125,80,,2021-04-02
259,GREAT WHITE 1H,24:00:00,54.56,74.66,31.5,125,90,,2021-04-02
260,GREAT WHITE 2H,24:00:00,39.17,54.25,25.0,125,90,,2021-04-02
261,JAVELINA 1H,24:00:00,21.51,15.35,10.83,130,80,"12hrs on/12hrs off, 7.3spm\",2021-04-02
262,MANTA 1H,24:00:00,36.26,31.15,44.64,200,80,,2021-04-02
263,REEF 3H,24:00:00,29.96,29.26,6.67,200,70,6.5spm,2021-04-02
264,RIDGEBACK 1H,24:00:00,16.71,11.82,5.0,120,80,7.1spm,2021-04-02
265,SEA WASP 2H,24:00:00,11.74,99.69,23.33,150,80,,2021-04-02
266,STINGRAY 2H,24:00:00,23.4,13.18,3.75,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-02
271,Summary,,419.06,678.73,223.2,,,,2021-04-02
267,THORNY DEVIL 1H,24:00:00,37.38,100.62,19.16,180,100,,2021-04-02
268,THORNY DEVIL 2H,24:00:00,30.0,100.25,16.67,180,100,,2021-04-02
