,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
2484,GREAT WHITE 2H,24:00:00,44.17,53.33,15.0,125,90,,2020-11-14
2485,JAVELINA 1H,24:00:00,21.27,16.36,7.08,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-14
2486,MANTA 1H,24:00:00,30.68,46.88,39.06,200,80,Avg- 6.5spm,2020-11-14
2487,REEF 3H,24:00:00,31.61,35.77,5.0,200,70,6.5spm,2020-11-14
2488,RIDGEBACK 1H,24:00:00,16.3,6.7,5.0,120,80,7.1spm,2020-11-14
2489,SEA WASP 2H,24:00:00,13.37,30.79,0.01,250,80,,2020-11-14
2490,STINGRAY 2H,24:00:00,17.58,4.0,9.16,200,100,"12hrs on/12hrs off, 6.6spm.",2020-11-14
2495,Summary,,411.57,752.61,186.97,,,,2020-11-14
2491,THORNY DEVIL 1H,24:00:00,40.73,104.41,18.33,180,100,,2020-11-14
2492,THORNY DEVIL 2H,24:00:00,40.69,123.43,20.84,180,120,,2020-11-14
2493,THORNY DEVIL 3H,24:00:00,16.29,22.46,1.67,180,90,,2020-11-14
2494,WOMBAT 2H,24:00:00,20.46,43.04,22.08,140,80,,2020-11-14
2496,CROC 1H,24:00:00,5.73,12.96,3.33,200,70,"12on/12off, 6.5spm",2020-11-13
2497,GALAH 3H,24:00:00,35.09,131.93,14.17,180,90,,2020-11-13
2498,GOANNA 1H,24:00:00,25.09,46.4,26.67,120,90,,2020-11-13
2499,GREAT WHITE 1H,24:00:00,52.5,60.16,34.84,125,90,,2020-11-13
2500,GREAT WHITE 2H,24:00:00,54.91,87.33,30.0,125,90,,2020-11-13
2501,JAVELINA 1H,24:00:00,22.09,16.81,7.5,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-13
2502,MANTA 1H,24:00:00,34.17,28.8,41.85,200,80,"Avg- 6.5spm, 20/50 Hot Oil",2020-11-13
2503,REEF 3H,24:00:00,38.25,54.27,23.33,200,70,6.5spm,2020-11-13
2504,RIDGEBACK 1H,24:00:00,15.87,6.74,5.0,120,80,7.1spm,2020-11-13
2505,SEA WASP 2H,24:00:00,15.04,43.13,3.34,250,80,,2020-11-13
2506,STINGRAY 2H,24:00:00,7.13,35.64,38.33,200,100,"12hrs on/12hrs off, 6.6spm. Drained bottom tk 1",2020-11-13
2511,Summary,,424.44,821.14,302.77,,,,2020-11-13
2507,THORNY DEVIL 1H,24:00:00,40.73,106.19,19.17,180,100,,2020-11-13
2508,THORNY DEVIL 2H,24:00:00,40.68,122.8,21.66,180,120,,2020-11-13
2509,THORNY DEVIL 3H,24:00:00,16.29,26.21,12.5,180,90,,2020-11-13
2510,WOMBAT 2H,24:00:00,20.87,41.77,21.08,140,80,,2020-11-13
2512,CROC 1H,24:00:00,25.79,14.39,7.09,200,70,"12on/12off, 6.5spm",2020-11-12
2513,GALAH 3H,24:00:00,30.72,133.69,10.41,180,90,,2020-11-12
2514,GOANNA 1H,24:00:00,22.17,32.11,21.67,130,90,,2020-11-12
2515,GREAT WHITE 1H,24:00:00,65.84,74.18,10.0,125,90,,2020-11-12
2516,GREAT WHITE 2H,24:00:00,40.0,48.06,8.0,125,90,,2020-11-12
2517,JAVELINA 1H,24:00:00,18.76,16.23,9.17,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-12
2518,MANTA 1H,24:00:00,17.65,36.95,16.74,200,80,Avg- 6.5spm,2020-11-12
2519,REEF 3H,24:00:00,33.27,33.17,1.25,200,70,6.5spm,2020-11-12
2520,RIDGEBACK 1H,24:00:00,15.46,7.1,5.42,120,80,,2020-11-12
2521,SEA WASP 2H,24:00:00,20.05,45.97,2.49,280,80,,2020-11-12
2522,STINGRAY 2H,24:00:00,16.28,6.96,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-12
2527,Summary,,421.3,757.35,159.73,,,,2020-11-12
2523,THORNY DEVIL 1H,24:00:00,38.64,109.26,20.41,180,100,,2020-11-12
2524,THORNY DEVIL 2H,24:00:00,36.15,123.69,23.75,180,120,,2020-11-12
2525,THORNY DEVIL 3H,24:00:00,20.06,35.12,0.01,180,90,,2020-11-12
2526,WOMBAT 2H,24:00:00,20.46,40.47,17.92,140,80,,2020-11-12
2528,CROC 1H,24:00:00,12.48,8.9,4.58,200,70,"12on/12off, 6.5spm",2020-11-11
2529,GALAH 3H,24:00:00,35.09,132.36,16.67,180,90,,2020-11-11
2530,GOANNA 1H,24:00:00,22.17,47.72,22.91,110,90,,2020-11-11
2531,GREAT WHITE 1H,24:00:00,52.48,77.73,40.0,125,90,,2020-11-11
2532,GREAT WHITE 2H,24:00:00,43.33,93.12,40.0,125,90,,2020-11-11
2533,JAVELINA 1H,24:00:00,20.01,16.47,5.83,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-11
2534,MANTA 1H,24:00:00,32.08,41.18,19.53,200,80,Avg- 6.5spm,2020-11-11
2535,REEF 3H,24:00:00,27.64,53.33,24.59,200,70,6.5spm,2020-11-11
2536,RIDGEBACK 1H,24:00:00,16.29,6.55,5.0,120,80,7.1spm,2020-11-11
2537,SEA WASP 2H,24:00:00,22.97,58.13,3.34,280,80,,2020-11-11
2538,STINGRAY 2H,24:00:00,17.13,4.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-11
2543,Summary,,421.95,841.74,251.63,,,,2020-11-11
2539,THORNY DEVIL 1H,24:00:00,41.83,111.84,21.67,180,100,,2020-11-11
2540,THORNY DEVIL 2H,24:00:00,42.87,123.43,20.0,160,120,,2020-11-11
2541,THORNY DEVIL 3H,24:00:00,13.87,22.42,3.34,180,90,,2020-11-11
2542,WOMBAT 2H,24:00:00,21.71,44.56,23.75,140,80,,2020-11-11
2544,CROC 1H,24:00:00,11.64,9.4,6.25,200,70,"12on/12off, 6.5spm",2020-11-10
2545,GALAH 3H,24:00:00,35.09,131.69,13.33,160,90,,2020-11-10
2546,GOANNA 1H,24:00:00,24.7,46.86,20.42,102,90,,2020-11-10
2547,GREAT WHITE 1H,24:00:00,43.33,78.94,15.0,125,90,,2020-11-10
2548,GREAT WHITE 2H,24:00:00,45.84,45.41,15.0,125,90,,2020-11-10
2549,JAVELINA 1H,24:00:00,9.16,16.71,8.33,130,80,,2020-11-10
2550,MANTA 1H,24:00:00,27.89,37.99,23.76,200,80,Avg- 6.5spm,2020-11-10
2551,REEF 3H,24:00:00,32.04,33.27,2.08,200,70,6.5spm,2020-11-10
2552,RIDGEBACK 1H,24:00:00,16.72,7.74,4.99,120,80,7.1spm,2020-11-10
2553,SEA WASP 2H,24:00:00,23.4,74.34,5.42,320,80,,2020-11-10
2554,STINGRAY 2H,24:00:00,13.36,18.14,12.91,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-10
2559,Summary,,397.17,806.39,200.83,,,,2020-11-10
2555,THORNY DEVIL 1H,24:00:00,42.81,113.68,17.92,180,100,,2020-11-10
2556,THORNY DEVIL 2H,24:00:00,40.28,123.34,22.09,180,120,,2020-11-10
2557,THORNY DEVIL 3H,24:00:00,12.96,26.09,13.33,180,90,,2020-11-10
2558,WOMBAT 2H,24:00:00,17.95,42.79,20.0,140,80,H/O flow line,2020-11-10
2560,CROC 1H,24:00:00,0.01,8.09,3.75,200,70,"12on/12off, 6.5spm",2020-11-09
2561,GALAH 3H,24:00:00,33.42,133.41,12.5,180,90,,2020-11-09
2562,GOANNA 1H,24:00:00,21.41,32.87,14.58,100,90,,2020-11-09
2563,GREAT WHITE 1H,24:00:00,65.0,69.63,14.99,125,90,,2020-11-09
2564,GREAT WHITE 2H,24:00:00,46.66,66.22,14.0,125,90,,2020-11-09
2565,JAVELINA 1H,24:00:00,20.02,16.6,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-09
2566,MANTA 1H,24:00:00,32.08,38.74,18.83,200,80,Avg- 6.5spm,2020-11-09
2567,REEF 3H,24:00:00,26.63,43.75,16.67,200,70,6.5spm,2020-11-09
2568,RIDGEBACK 1H,24:00:00,16.79,7.25,6.67,120,80,7.1spm,2020-11-09
2569,SEA WASP 2H,24:00:00,23.92,55.88,4.58,300,80,,2020-11-09
2570,STINGRAY 2H,24:00:00,10.02,6.75,1.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-09
2575,Summary,,430.81,804.72,190.32,,,,2020-11-09
2571,THORNY DEVIL 1H,24:00:00,41.56,117.27,25.0,180,100,,2020-11-09
2572,THORNY DEVIL 2H,24:00:00,40.68,124.51,22.5,180,120,,2020-11-09
2573,THORNY DEVIL 3H,24:00:00,25.9,33.8,1.25,180,90,,2020-11-09
2574,WOMBAT 2H,24:00:00,26.72,49.95,28.33,140,80,,2020-11-09
2576,CROC 1H,24:00:00,9.98,25.2,28.33,200,70,"12on/12off, 6.5spm",2020-11-08
2577,GALAH 3H,24:00:00,35.91,132.8,33.75,180,90,,2020-11-08
2578,GOANNA 1H,24:00:00,23.74,47.72,11.25,82,90,,2020-11-08
2579,GREAT WHITE 1H,24:00:00,55.46,74.37,33.34,125,90,,2020-11-08
2580,GREAT WHITE 2H,24:00:00,50.47,76.83,30.0,125,90,,2020-11-08
2581,JAVELINA 1H,24:00:00,20.01,16.53,11.66,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-08
2582,MANTA 1H,24:00:00,28.58,41.9,19.52,200,80,Avg- 6.5spm,2020-11-08
2583,REEF 3H,24:00:00,37.38,45.91,8.74,200,70,6.5spm,2020-11-08
2584,RIDGEBACK 1H,24:00:00,15.5,7.83,1.67,120,80,7.1spm,2020-11-08
2585,SEA WASP 2H,24:00:00,9.64,7.92,0.01,80,80,unit gas locked surged got PA,2020-11-08
2586,STINGRAY 2H,24:00:00,16.71,4.31,3.34,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-08
2591,Summary,,434.51,797.42,245.33,,,,2020-11-08
2587,THORNY DEVIL 1H,24:00:00,43.22,119.36,20.83,180,100,,2020-11-08
2588,THORNY DEVIL 2H,24:00:00,40.69,124.16,19.99,180,120,,2020-11-08
2589,THORNY DEVIL 3H,24:00:00,25.48,23.25,2.5,180,90,,2020-11-08
2590,WOMBAT 2H,24:00:00,21.74,49.33,20.0,140,80,,2020-11-08
2592,CROC 1H,24:00:00,26.62,7.91,30.0,200,70,"12on/12off, 6.5spm",2020-11-07
2593,GALAH 3H,24:00:00,34.27,132.77,15.0,180,90,,2020-11-07
2594,GOANNA 1H,24:00:00,25.93,46.38,11.26,102,90,,2020-11-07
2595,GREAT WHITE 1H,24:00:00,61.67,77.72,12.33,125,90,,2020-11-07
2596,GREAT WHITE 2H,24:00:00,40.0,51.2,16.0,125,90,,2020-11-07
2597,JAVELINA 1H,24:00:00,20.02,16.57,5.01,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-07
2598,MANTA 1H,24:00:00,27.9,39.09,20.24,200,80,Avg- 6.5spm,2020-11-07
2599,REEF 3H,24:00:00,23.3,39.47,16.26,37,37,6.5spm,2020-11-07
2600,RIDGEBACK 1H,24:00:00,20.05,8.57,1.66,120,80,7.1spm,2020-11-07
2601,SEA WASP 2H,24:00:00,10.26,40.15,11.24,120,80,,2020-11-07
2602,STINGRAY 2H,24:00:00,21.72,4.0,1.66,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-07
2607,Summary,,433.54,792.3,244.82,,,,2020-11-07
2603,THORNY DEVIL 1H,24:00:00,42.4,120.55,22.5,180,100,,2020-11-07
2604,THORNY DEVIL 2H,24:00:00,36.77,125.5,25.83,180,120,,2020-11-07
2605,THORNY DEVIL 3H,24:00:00,21.31,27.04,10.83,180,90,,2020-11-07
2606,WOMBAT 2H,24:00:00,21.32,55.38,45.0,140,80,,2020-11-07
2608,CROC 1H,24:00:00,11.64,8.76,3.75,200,70,"12on/12off, 6.5spm",2020-11-06
2609,GALAH 3H,24:00:00,36.76,134.47,10.42,180,90,chemical treat,2020-11-06
2610,GOANNA 1H,24:00:00,24.26,32.25,22.91,100,90,,2020-11-06
2611,GREAT WHITE 1H,24:00:00,61.67,77.83,39.67,125,90,,2020-11-06
2612,GREAT WHITE 2H,24:00:00,50.0,90.58,36.0,125,90,,2020-11-06
2613,JAVELINA 1H,24:00:00,30.02,16.18,1.66,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-06
2614,MANTA 1H,24:00:00,22.31,38.4,23.01,200,80,Avg- 6.5spm,2020-11-06
2615,REEF 3H,24:00:00,21.64,44.56,12.08,37,37,6.5spm,2020-11-06
2616,RIDGEBACK 1H,24:00:00,20.06,9.03,1.67,120,80,7.1spm,2020-11-06
2617,SEA WASP 2H,24:00:00,11.7,60.9,0.01,150,80,,2020-11-06
2618,STINGRAY 2H,24:00:00,15.04,34.22,20.0,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-06
2623,Summary,,431.37,881.54,240.34,,,,2020-11-06
2619,THORNY DEVIL 1H,24:00:00,35.06,121.41,22.5,180,100,chemical treat,2020-11-06
2620,THORNY DEVIL 2H,24:00:00,41.1,123.19,19.58,180,120,chemical treat,2020-11-06
2621,THORNY DEVIL 3H,24:00:00,20.05,34.86,0.01,180,90,Replaced water leg seat and trim chemical treat,2020-11-06
2622,WOMBAT 2H,24:00:00,30.06,54.9,26.67,140,80,,2020-11-06
2624,CROC 1H,24:00:00,6.65,7.59,1.67,200,70,"12on/12off, 6.5spm, A-129 B-111",2020-11-05
2625,GALAH 3H,24:00:00,41.78,153.92,17.08,180,90,B-110 T-100,2020-11-05
2626,GOANNA 1H,24:00:00,24.67,45.63,23.33,110,90,,2020-11-05
2627,GREAT WHITE 1H,24:00:00,51.67,75.0,16.67,125,90,,2020-11-05
2628,GREAT WHITE 2H,24:00:00,30.0,47.0,10.0,125,90,,2020-11-05
2629,JAVELINA 1H,24:00:00,11.68,17.0,16.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-05
2630,MANTA 1H,24:00:00,27.64,39.25,19.53,200,80,"Avg- 6.5spm, chem treated, A- 140 B- 131",2020-11-05
2631,REEF 3H,24:00:00,21.63,38.38,10.0,200,70,"6.5spm, A-135 B-121",2020-11-05
2632,RIDGEBACK 1H,24:00:00,11.69,9.0,10.0,120,80,7.1spm,2020-11-05
2633,SEA WASP 2H,24:00:00,13.37,63.11,10.0,150,80,,2020-11-05
2634,STINGRAY 2H,24:00:00,41.77,11.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-05
2639,Summary,,416.55,840.86,217.04,,,,2020-11-05
2635,THORNY DEVIL 1H,24:00:00,46.97,124.48,22.5,180,100,,2020-11-05
2636,THORNY DEVIL 2H,24:00:00,43.59,125.79,22.09,180,120,,2020-11-05
2637,THORNY DEVIL 3H,24:00:00,18.39,25.71,5.84,180,90,,2020-11-05
2638,WOMBAT 2H,24:00:00,25.05,58.0,31.66,140,80,,2020-11-05
2640,CROC 1H,24:00:00,1.66,10.65,1.66,200,70,"12on/12off, 6.5spm, gas locked, sped up unit and got back p/a",2020-11-04
2641,GALAH 3H,24:00:00,39.73,132.88,14.59,180,80,,2020-11-04
2642,GOANNA 1H,24:00:00,31.78,46.02,16.67,110,90,,2020-11-04
2643,GREAT WHITE 1H,24:00:00,63.74,70.0,29.99,125,90,,2020-11-04
2644,GREAT WHITE 2H,24:00:00,38.83,87.0,20.0,125,9,,2020-11-04
2645,JAVELINA 1H,24:00:00,18.34,16.0,6.67,130,80,,2020-11-04
2646,MANTA 1H,24:00:00,27.9,40.16,19.53,200,80,Avg- 6.5spm,2020-11-04
2647,REEF 3H,24:00:00,26.63,42.47,11.66,200,70,6.5spm,2020-11-04
2648,RIDGEBACK 1H,24:00:00,18.38,10.0,5.0,120,80,7.1spm,2020-11-04
2649,SEA WASP 2H,24:00:00,0.01,16.05,5.0,100,80,Down on over voltage BOL,2020-11-04
2650,STINGRAY 2H,24:00:00,15.04,4.0,11.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-04
2655,Summary,,406.86,826.09,233.28,,,,2020-11-04
2651,THORNY DEVIL 1H,24:00:00,44.06,126.06,23.34,180,100,,2020-11-04
2652,THORNY DEVIL 2H,24:00:00,40.69,126.29,21.66,180,120,,2020-11-04
2653,THORNY DEVIL 3H,24:00:00,13.36,28.51,12.5,180,90,,2020-11-04
2654,WOMBAT 2H,24:00:00,26.72,70.0,33.34,140,80,,2020-11-04
2656,CROC 1H,24:00:00,24.95,24.11,15.42,200,70,"12on/12off, 6.5spm",2020-11-03
2657,GALAH 3H,24:00:00,31.74,133.27,24.99,180,80,,2020-11-03
2658,GOANNA 1H,24:00:00,24.68,54.49,22.5,59,1387,,2020-11-03
2659,GREAT WHITE 1H,24:00:00,58.33,73.84,25.0,125,90,,2020-11-03
2660,GREAT WHITE 2H,24:00:00,56.67,44.34,15.0,125,90,,2020-11-03
2661,JAVELINA 1H,24:00:00,21.67,16.64,10.0,130,80,"12hrs on/12hrs off, 7.3spm, Chem Treated(11/3)",2020-11-03
2662,MANTA 1H,24:00:00,27.89,35.51,17.01,200,80,Avg- 6.5spm,2020-11-03
2663,REEF 3H,24:00:00,29.96,38.56,6.26,200,70,6.5spm,2020-11-03
2664,RIDGEBACK 1H,24:00:00,16.71,9.86,5.0,120,80,"7.1spm, Chem Treated(11/3)",2020-11-03
2665,SEA WASP 2H,24:00:00,3.34,28.25,0.01,100,80,Down on over voltage BOL,2020-11-03
2666,STINGRAY 2H,24:00:00,21.73,4.0,1.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-03
2671,Summary,,457.09,831.96,237.83,,,,2020-11-03
2667,THORNY DEVIL 1H,24:00:00,44.18,127.37,27.08,180,100,,2020-11-03
2668,THORNY DEVIL 2H,24:00:00,38.87,127.15,24.58,180,120,,2020-11-03
2669,THORNY DEVIL 3H,24:00:00,22.97,37.06,6.66,180,90,,2020-11-03
2670,WOMBAT 2H,24:00:00,33.4,77.51,36.66,140,90,,2020-11-03
2672,CROC 1H,24:00:00,9.98,7.24,0.01,200,70,"12on/12off, 6.5spm",2020-11-02
2673,GALAH 3H,24:00:00,43.44,132.43,36.67,180,80,,2020-11-02
2674,GOANNA 1H,22:00,20.55,25.48,9.59,110,90,"down - postion fault, reset - bol",2020-11-02
2675,GREAT WHITE 1H,24:00:00,68.44,80.0,30.01,125,90,"Temp A-120, B-105",2020-11-02
2676,GREAT WHITE 2H,24:00:00,43.33,71.0,20.0,125,90,"Temp A-115, B-110",2020-11-02
2677,JAVELINA 1H,24:00:00,20.01,17.0,6.66,130,80,"12hrs on/12hrs off, 7.3spm, Temp A-128, B-106",2020-11-02
2678,MANTA 1H,24:00:00,28.59,40.04,20.92,200,80,,2020-11-02
2679,REEF 3H,24:00:00,38.26,46.95,16.25,200,70,6.5spm,2020-11-02
2680,RIDGEBACK 1H,24:00:00,13.37,9.0,5.0,120,80,"7.1spm, Temp A-130, B-110",2020-11-02
2681,SEA WASP 2H,24:00:00,5.01,16.97,5.0,120,80,DOA overvoltage BOL,2020-11-02
2682,STINGRAY 2H,24:00:00,6.68,4.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm, Temp A-114, B-85",2020-11-02
2687,Summary,,444.19,809.14,247.19,,,,2020-11-02
2683,THORNY DEVIL 1H,24:00:00,46.55,128.65,20.0,180,100,,2020-11-02
2684,THORNY DEVIL 2H,24:00:00,43.18,127.28,25.0,180,120,,2020-11-02
2685,THORNY DEVIL 3H,24:00:00,20.06,24.1,5.0,180,90,,2020-11-02
2686,WOMBAT 2H,24:00:00,36.74,79.0,46.67,140,90,"Temp A-124, B-120",2020-11-02
2688,CROC 1H,24:00:00,6.66,8.13,1.25,200,70,"12on/12off, 6.5spm",2020-11-01
2689,GALAH 3H,24:00:00,40.53,133.94,20.0,180,80,,2020-11-01
2690,GOANNA 1H,24:00:00,24.44,31.27,11.66,144,90,,2020-11-01
2691,GREAT WHITE 1H,24:00:00,46.66,76.0,30.0,125,90,,2020-11-01
2692,GREAT WHITE 2H,24:00:00,57.37,64.0,25.0,125,90,,2020-11-01
2693,JAVELINA 1H,24:00:00,25.01,17.0,11.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-01
2694,MANTA 1H,24:00:00,27.2,39.09,20.23,200,80,Avg- 6.5spm,2020-11-01
2695,REEF 3H,24:00:00,28.69,37.31,12.91,200,70,6.5spm,2020-11-01
2696,RIDGEBACK 1H,24:00:00,20.05,9.0,5.0,120,80,7.1spm,2020-11-01
2697,SEA WASP 2H,24:00:00,8.36,31.72,0.01,100,80,surged and pumped up gas locked,2020-11-01
2698,STINGRAY 2H,24:00:00,35.81,36.0,21.66,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-01
2703,Summary,,455.72,841.82,261.05,,,,2020-11-01
2699,THORNY DEVIL 1H,24:00:00,46.55,128.76,28.33,180,100,,2020-11-01
2700,THORNY DEVIL 2H,24:00:00,43.17,128.23,21.67,180,120,,2020-11-01
2701,THORNY DEVIL 3H,24:00:00,11.74,29.37,5.0,180,90,,2020-11-01
2702,WOMBAT 2H,24:00:00,33.48,72.0,46.67,140,90,,2020-11-01
2704,CROC 1H,24:00:00,11.65,9.9,5.0,200,70,"12on/12off, 6.5spm",2020-10-31
2705,GALAH 3H,24:00:00,52.04,136.86,13.33,180,80,,2020-10-31
2706,GOANNA 1H,24:00:00,21.3,49.9,22.92,76,1295,,2020-10-31
2707,GREAT WHITE 1H,24:00:00,68.34,70.08,15.0,125,90,,2020-10-31
2708,GREAT WHITE 2H,24:00:00,41.68,62.38,10.0,125,90,,2020-10-31
2709,JAVELINA 1H,24:00:00,20.0,16.78,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-10-31
2710,MANTA 1H,24:00:00,30.68,36.9,20.23,200,80,Avg- 6.5spm,2020-10-31
2711,REEF 3H,24:00:00,35.35,40.04,15.0,200,70,6.5spm,2020-10-31
2712,RIDGEBACK 1H,24:00:00,16.72,9.5,5.0,120,80,7.1spm,2020-10-31
2713,SEA WASP 2H,24:00:00,1.67,22.9,1.67,80,80,surged pumped gas locked,2020-10-31
2714,STINGRAY 2H,24:00:00,13.36,5.75,1.67,200,100,"12hrs on/12hrs off, 6.6spm-",2020-10-31
2719,Summary,,457.61,826.28,222.16,,,,2020-10-31
2715,THORNY DEVIL 1H,24:00:00,44.88,128.67,26.67,180,100,,2020-10-31
2716,THORNY DEVIL 2H,24:00:00,38.2,129.57,25.0,200,120,,2020-10-31
2717,THORNY DEVIL 3H,24:00:00,19.48,41.26,11.67,180,90,,2020-10-31
2718,WOMBAT 2H,24:00:00,42.26,65.79,42.33,140,90,,2020-10-31
2720,CROC 1H,24:00:00,0.01,22.88,19.16,200,70,"12on/12off, 6.5spm",2020-10-30
2721,GALAH 3H,24:00:00,40.1,147.35,23.34,180,80,,2020-10-30
2722,GOANNA 1H,24:00:00,27.19,46.36,19.17,100,90,,2020-10-30
2723,GREAT WHITE 1H,24:00:00,55.28,70.0,25.0,125,90,,2020-10-30
2724,GREAT WHITE 2H,24:00:00,49.99,76.0,15.0,125,90,,2020-10-30
2725,JAVELINA 1H,24:00:00,21.68,17.0,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-10-30
2726,MANTA 1H,24:00:00,33.49,38.13,20.92,200,80,Avg- 6.5spm,2020-10-30
2727,REEF 3H,24:00:00,41.46,43.72,2.5,200,70,6.5spm,2020-10-30
2728,RIDGEBACK 1H,24:00:00,19.1,8.0,1.67,120,80,7.1spm,2020-10-30
2729,SEA WASP 2H,24:00:00,8.35,43.29,1.67,100,80,chemical treat,2020-10-30
2730,STINGRAY 2H,24:00:00,15.04,4.0,6.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-10-30
2735,Summary,,279.45,868.27,270.08,,,,2020-10-30
2731,THORNY DEVIL 1H,24:00:00,43.23,123.51,26.66,180,100,chemical treat,2020-10-30
2732,THORNY DEVIL 2H,24:00:00,36.53,140.1,48.33,200,120,chemical treat,2020-10-30
2733,THORNY DEVIL 3H,24:00:00,18.38,26.93,6.66,180,90,chemical treat,2020-10-30
2734,WOMBAT 2H,24:00:00,27.66,61.0,48.33,140,90,,2020-10-30
2736,CROC 1H,24:00:00,1.66,6.81,0.01,200,70,"12on/12off, 6.5spm, gas locked, sped up unit and got back pumping",2020-10-29
2737,GALAH 3H,24:00:00,25.49,103.54,37.92,80,200,LTF 50bbls fresh water csg tested good p/a,2020-10-29
2738,GOANNA 1H,24:00:00,23.0,44.72,15.83,110,90,,2020-10-29
2739,GREAT WHITE 1H,24:00:00,60.0,73.98,21.67,125,90,,2020-10-29
2740,GREAT WHITE 2H,24:00:00,41.67,60.04,20.0,125,90,,2020-10-29
2741,JAVELINA 1H,24:00:00,20.03,16.0,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-10-29
2742,MANTA 1H,24:00:00,30.06,39.45,18.84,200,80,Avg- 6.5spm,2020-10-29
2743,REEF 3H,24:00:00,43.26,34.97,0.01,200,70,6.5spm,2020-10-29
2744,RIDGEBACK 1H,24:00:00,18.38,8.0,3.33,120,80,7.1spm,2020-10-29
2745,SEA WASP 2H,24:00:00,15.05,51.25,18.33,140,80,,2020-10-29
2746,STINGRAY 2H,24:00:00,18.38,4.0,1.66,200,100,"12hrs on/12hrs off, 6.6spm",2020-10-29
2751,Summary,,431.93,752.72,255.53,,,,2020-10-29
2747,THORNY DEVIL 1H,24:00:00,45.59,120.59,17.09,180,100,,2020-10-29
2748,THORNY DEVIL 2H,24:00:00,37.6,118.09,32.92,200,100,H/O 20bbls oil flowline 50bbls fresh water csg,2020-10-29
2749,THORNY DEVIL 3H,24:00:00,18.38,17.28,9.59,180,90,,2020-10-29
2750,WOMBAT 2H,24:00:00,33.38,54.0,48.34,140,90,,2020-10-29
2752,CROC 1H,24:00:00,13.32,8.26,2.91,200,70,"12on/12off, 6.5spm",2020-10-28
2753,GALAH 3H,24:00:00,20.05,118.33,8.75,80,80,No P/A. Put drive in Hand,2020-10-28
2754,GOANNA 1H,24:00:00,25.09,43.61,21.25,85,90,,2020-10-28
2755,GREAT WHITE 1H,24:00:00,55.0,74.65,36.33,125,90,,2020-10-28
2756,GREAT WHITE 2H,24:00:00,55.0,77.38,32.0,125,90,,2020-10-28
2757,JAVELINA 1H,24:00:00,22.04,16.22,5.33,130,80,"12hrs on/12hrs off, 7.3spm",2020-10-28
2758,MANTA 1H,24:00:00,18.04,36.95,24.45,200,80,Avg- 6.5spm,2020-10-28
2759,REEF 3H,24:00:00,42.85,43.68,0.01,200,70,6.5spm,2020-10-28
2760,RIDGEBACK 1H,24:00:00,18.38,7.26,3.0,120,80,7.1spm,2020-10-28
2761,SEA WASP 2H,24:00:00,16.29,52.24,0.01,140,80,,2020-10-28
2762,STINGRAY 2H,24:00:00,28.4,30.27,16.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-10-28
2767,Summary,,463.11,843.32,248.19,,,,2020-10-28
2763,THORNY DEVIL 1H,24:00:00,44.06,123.26,25.83,180,100,,2020-10-28
2764,THORNY DEVIL 2H,24:00:00,41.52,134.38,22.5,200,100,,2020-10-28
2765,THORNY DEVIL 3H,24:00:00,29.67,28.59,5.42,180,90,,2020-10-28
2766,WOMBAT 2H,24:00:00,33.4,48.24,43.33,140,90,,2020-10-28
2768,CROC 1H,24:00:00,9.98,10.38,7.5,200,70,"12on/12off, 6.5spm",2020-10-27
2769,GALAH 3H,24:00:00,29.65,124.3,7.91,180,90,,2020-10-27
2770,GOANNA 1H,24:00:00,25.09,44.5,13.75,100,90,,2020-10-27
2771,GREAT WHITE 1H,24:00:00,60.0,69.5,9.66,125,90,,2020-10-27
2772,GREAT WHITE 2H,24:00:00,45.04,51.15,6.0,125,90,,2020-10-27
